Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Sales,Profit,Discount
2023-01-01,East,New York,Consumer,Office Supplies,Supplies,1,41.46,8.37,0.0
2023-01-01,South,Georgia,Consumer,Office Supplies,Envelopes,7,290.62,78.09,0.2
2023-01-01,East,New York,Consumer,Furniture,Bookcases,5,992.14,-4.05,0.0
2023-01-01,East,New Jersey,Consumer,Office Supplies,Supplies,7,222.0,70.14,0.0
2023-01-01,Central,Illinois,Home Office,Office Supplies,Art,1,40.86,7.55,0.1
2023-01-02,East,New York,Consumer,Furniture,Chairs,7,1959.21,298.78,0.3
2023-01-03,Central,Texas,Corporate,Office Supplies,Art,3,78.15,22.56,0.1
2023-01-04,West,Arizona,Consumer,Office Supplies,Binders,6,158.43,20.37,0.3
2023-01-04,West,Washington,Consumer,Office Supplies,Art,7,301.1,86.39,0.0
2023-01-04,West,Nevada,Consumer,Office Supplies,Envelopes,2,63.2,7.69,0.0
2023-01-04,South,Alabama,Corporate,Office Supplies,Supplies,3,111.4,21.05,0.0
2023-01-04,East,Virginia,Consumer,Furniture,Chairs,1,240.24,29.5,0.0
2023-01-05,East,Virginia,Consumer,Office Supplies,Binders,4,193.59,60.33,0.2
2023-01-05,East,Virginia,Corporate,Office Supplies,Supplies,4,120.99,21.86,0.4
2023-01-05,West,California,Home Office,Office Supplies,Supplies,5,144.52,30.91,0.2
2023-01-05,West,California,Home Office,Office Supplies,Binders,6,290.84,30.66,0.0
2023-01-06,West,California,Consumer,Office Supplies,Paper,5,212.4,15.31,0.1
2023-01-06,West,Oregon,Corporate,Office Supplies,Art,5,164.05,13.67,0.0
2023-01-06,Central,Texas,Home Office,Furniture,Chairs,7,1929.83,357.43,0.1
2023-01-06,East,Pennsylvania,Consumer,Office Supplies,Art,2,90.37,17.64,0.0
2023-01-06,South,Tennessee,Home Office,Technology,Copiers,1,359.31,97.05,0.2
2023-01-07,Central,Illinois,Consumer,Office Supplies,Labels,3,139.3,28.35,0.0
2023-01-07,East,Virginia,Corporate,Office Supplies,Labels,4,190.79,15.29,0.0
2023-01-07,West,Oregon,Corporate,Technology,Machines,5,2415.99,-204.49,0.3
2023-01-08,East,Massachusetts,Consumer,Technology,Accessories,4,1469.02,311.59,0.0
2023-01-08,West,California,Corporate,Office Supplies,Labels,1,28.79,6.59,0.2
2023-01-08,East,Virginia,Corporate,Office Supplies,Envelopes,1,37.48,6.28,0.1
2023-01-08,East,New Jersey,Consumer,Furniture,Furnishings,1,180.59,41.21,0.2
2023-01-09,East,Virginia,Home Office,Office Supplies,Binders,5,123.67,18.45,0.15
2023-01-10,West,Arizona,Consumer,Office Supplies,Binders,1,44.61,5.39,0.1
2023-01-10,South,Tennessee,Home Office,Office Supplies,Paper,7,303.04,100.79,0.0
2023-01-10,East,New York,Corporate,Office Supplies,Storage,5,190.66,39.14,0.2
2023-01-10,East,New Jersey,Consumer,Technology,Phones,3,1447.99,363.33,0.15
2023-01-10,East,New Jersey,Corporate,Office Supplies,Labels,2,55.72,11.33,0.0
2023-01-11,South,North Carolina,Home Office,Technology,Machines,6,1853.77,-170.94,0.0
2023-01-11,West,Nevada,Consumer,Furniture,Furnishings,5,931.04,287.44,0.4
2023-01-12,West,Oregon,Consumer,Office Supplies,Binders,1,27.61,2.4,0.0
2023-01-12,West,Washington,Consumer,Office Supplies,Labels,7,339.52,44.3,0.0
2023-01-12,South,Tennessee,Corporate,Furniture,Bookcases,7,1419.31,20.72,0.2
2023-01-12,South,Florida,Corporate,Technology,Machines,6,3289.73,130.27,0.1
2023-01-12,Central,Texas,Consumer,Office Supplies,Binders,3,106.16,6.75,0.0
2023-01-13,East,New Jersey,Home Office,Office Supplies,Storage,6,196.44,38.2,0.1
2023-01-13,East,New Jersey,Home Office,Office Supplies,Storage,3,126.49,30.12,0.1
2023-01-13,Central,Illinois,Corporate,Office Supplies,Envelopes,2,68.5,20.43,0.0
2023-01-13,Central,Michigan,Corporate,Office Supplies,Envelopes,3,83.4,28.32,0.1
2023-01-14,Central,Ohio,Corporate,Technology,Phones,6,2906.81,572.53,0.1
2023-01-15,Central,Wisconsin,Consumer,Technology,Machines,6,1799.28,-26.0,0.2
2023-01-15,South,Georgia,Consumer,Office Supplies,Binders,3,134.15,12.45,0.0
2023-01-16,East,Virginia,Corporate,Office Supplies,Supplies,5,197.94,23.73,0.0
2023-01-16,South,North Carolina,Corporate,Technology,Copiers,1,396.97,137.05,0.1
2023-01-16,West,Washington,Consumer,Office Supplies,Envelopes,5,235.29,42.95,0.15
2023-01-16,South,Alabama,Consumer,Technology,Machines,1,298.28,-1.12,0.0
2023-01-16,West,Washington,Consumer,Office Supplies,Paper,5,191.86,50.77,0.2
